step,0,1,2
0,461.0,461.0,461.0
1,460.76576946090853,460.74896874883956,461.06240291441213
2,461.3078510376755,460.76803109528964,461.31477145109096
3,461.4766196143347,460.7817956549886,461.28360065728384
4,460.7596036014455,460.93992226457254,461.3402864659765
5,460.7864586106305,460.54987169735824,461.24940036499606
6,460.50102429211785,460.4925432027908,460.84009142049393
7,460.14039755403707,460.66260956180867,461.21612459321557
8,460.3765531722252,460.6839236626594,461.1010490989459
9,460.4001268702805,460.5367813572726,461.33316610258
10,460.39145559799925,460.8806863033494,461.6112436679482
11,460.6689043857748,460.5900578453662,461.8970715684721
12,460.6777346663178,460.97812096251647,461.8050611856608
13,460.41160736358694,461.0851524308528,462.1710850353133
14,460.2006481317898,460.60069050965797,462.6054826053903
15,460.39614552441685,460.54670155145914,462.4237031903424
16,461.3717259466308,460.54702939612287,462.78684191317683
17,461.7861018533492,460.1501305114894,462.9925220445591
18,462.0448283276739,460.3451051234097,462.75030558356406
19,462.32696524648514,460.6399505867113,462.35499346001154
20,462.8831702316634,460.6921301561604,462.6103900856174
21,463.45146342959146,460.4132493256462,461.8292278305404
22,463.83185208340103,460.0606363669712,461.8821041091027
23,463.7294638513715,460.3678710432547,461.6487700367964
24,463.37450901973375,460.00850740540653,461.663475563735
25,463.7315429228546,460.4296625124761,461.3679498319379
26,463.04887997474736,460.61901484434463,460.9532421957952
27,463.0411127642194,460.43675631656066,460.3899784546535
28,462.9285042763902,460.016928873163,460.86634434880176
29,462.89267503667304,459.6644986528958,461.1727125129689
30,462.7508105894253,459.8068163463743,460.6872148081099
31,462.4923862745459,460.13013014837674,461.2007900332492
32,462.644779822155,460.4058200844774,460.99336769036705
33,461.92037525406505,460.77205264423026,461.12021920291414
34,462.4703677267339,460.4792386795355,461.47953282137587
35,462.7311163903004,461.16094623161126,461.9231818055432
36,462.91559265487564,462.0382888514287,462.3706932373584
37,463.84767176331917,462.1221051204773,462.24880240007394
38,464.0349630844121,462.25681437549883,462.2180957426968
39,463.7501050828338,461.67790386241364,461.79379126920554
40,463.72751907926556,461.4809479106466,462.13474678353646
41,463.77894093663474,461.1392116506453,461.83132034566387
42,463.0776319108457,460.35376687512655,461.5281007889806
43,463.02726318074343,459.79693422094977,461.80071600070505
44,463.6772173818525,460.1407733986742,461.13971473527903
45,463.59101083374463,459.57428827300504,461.02014201497906
46,463.9294393415231,459.8251395003167,461.26050853612776
47,463.8746324343769,459.1360932138601,461.52351049959316
48,464.4602628862476,458.9564299908135,461.3243143951071
49,464.0306636467978,459.07756427540613,461.1217300427632
50,464.3269445686703,459.212399531034,461.1408953189338
51,464.82523056176666,459.6183991355057,461.1926364319408
52,464.86580530361033,459.35575536586066,461.8683240053809
53,465.19560643617524,459.2928279059691,461.41956151271177
54,465.23940697426275,459.30621560184943,461.5437558484474
55,464.56608897639785,459.1497635470289,461.43431318192387
56,464.30829965291196,459.01315217025,461.99245764293005
57,464.43319086377045,459.3735551860615,461.72699054594403
58,464.45913966021175,459.2573326903842,461.41800103624536
59,464.29323072364207,459.47925765566663,461.2324629584032
60,464.19872535552645,460.63552504770615,461.2350800049954
61,464.1416187934582,460.66035093166505,460.9318630323153
62,464.60165357107365,460.8298060652272,460.63963715548294
63,465.4757672525595,460.5098833563234,460.29748777726724
64,465.9063448642979,460.54552767090024,459.7046496630467
65,465.8592697063403,460.4307836694901,459.3900067305889
66,465.86559562970075,460.61009336962854,459.3940419473629
67,466.1469527112631,461.0751539859639,459.3241102790291
68,466.47350604350436,461.1657548712906,459.5428233999334
69,465.897445935909,460.88461063710827,459.59542552526705
70,465.47443541604866,460.7479735703185,459.4681603774791
71,465.4358829981898,460.24582213331854,459.30073014081637
72,465.2259944427855,460.6877419796077,460.4165681560208
73,465.5253054845356,460.116143330879,460.9075567425612
74,465.3150116518787,460.1460808464478,460.4536592611182
75,465.5572417695219,459.8973851288163,461.02522333806724
76,465.55544199402755,460.2726787215065,461.21546400660617
77,465.8304800088092,460.02972383354603,461.75200586562875
78,466.0444382045843,460.1408702027645,461.8776435462525
